ID,sentences,label
0,This device has a cathode inside an anode wire cage.,thing
1,This product is almost always produced by the industrialized method.,thing
2,It is named after Edward Singleton Holden.,person
3,It is north west of the regional centre of Clare.,place
4,He was a nephew of Rear-Admiral Sir Francis Augustus Collier.,person
5,Leaving for some darn camp in Mississippi.,place
6,"While employed in this role, Johnson won the prestigious Robert F. Kennedy Award.",person
7,Samuel Lyons proceeded to subdivide Five Dock Farm into substantial estates.,place
8,Where did it come from then?,not applicable
9,"Since then, three more have been abolished, leaving four.",idea
10,"""Narwhal"" joined the Atlantic Torpedo Fleet, based at Newport, Rhode Island.",thing
11,The airline was later removed from the blacklist after complying with safety audits.,thing
12,"The paper has the slogan ""Never Apologise, Never Explain!"".",thing
13,He was born in Tokyo.,place
14,You just shoot that.,thing
15,"Chen was a low profile talented scholar with a number of ""first"" accomplishments.",person
16,The Fulshear City Council asked the county to name the library after Lutts.,person
17,The Cascade Lakes Scenic Byway continues south along the west side of Mount Bachelor.,place
18,Montgomerie was eliminated.,person
19,"Depending on the time period and culture, the term can have several meanings.",idea
20,The objective of the game is to capture your opponent's king.,idea
21,It is a producer of photovoltaic solar modules.,thing
22,Population change chart of Chênedouit,thing
23,I have to be with my father.,person
24,In the dormitory where Beppe used to work they joked around almost always.,place
25,It was reformist in nature and did not protest against Sanation authoritarianism or capitalism.,idea
26,"Morrison stated that the current system is ""not fit for purpose"".",idea
27,Crichton also served on Berkshire County Council.,person
28,The cast included Gena Rowlands and Diane Lane.,person
29,Many of its mineral reserves have yet to be fully tapped.,thing
30,The Gatineau casino thus also serves Ottawa and Eastern Ontario.,place
31,John Strachan and William Allan and moved to Toronto.,place
32,Ringing is the result of overshoot caused by an underdamped circuit.,idea
33,He was the son of Admiral Henrik Bielke.,person
34,Johannes Terho was vice president of the Finnish Chess Federation.,person
35,"She was also cast in ""Wild Guys"".",person
36,Douw was married three times.,person
37,Conger's mother is actress Susan Harrison.,person
38,It is a skiing resort with modern skiing equipment.,place
39,"He then asks Helmut to do his hammering ""with a little discretion"".",idea
40,Jones refused and wrote about the incident on her website.,person
41,A ripe plum is fit for a king's palate.,thing
42,Karetu School is also a local primary school in the Kawakawa region.,place
43,The location is between the towns of Jean and Primm.,place
44,A colony of the Moravian Church was also founded in the same year.,place
45,"During these dates, Fang begins to relate the tale of her friend's parents.",person
46,"He moved to Boston, where he became increasingly obsessed with his health.",place
47,"After winning the election, Sharon needed to form a government in the Knesset.",person
48,"The film was animated in both Britain and San Francisco, California.",place
49,His alternative position was wing.,thing
50,"As a solo performer, he later released two albums.",person
51,The first and most widely used tracers are sunspots.,thing
52,"They're going to get penalized for it, but So what?",idea
53,The game had changed by the time the first Spanish settlers arrived.,idea
54,Some Indian Pattern cars saw use in the Indian subcontinent and Burma.,thing
55,"Before the grain can be used, the husks must be removed.",thing
56,"For thousands of years, Native American tribes inhabited this region.",place
57,"Therefore, transitivity is semantically valid without any constraints.",idea
58,"Nevertheless, the inhabitants decided to improve their farming techniques and started making terraces.",idea
59,"For more detail, see the article in the ""Anchor Bible Dictionary"".",thing
60,Its county seat is Murphy.,place
61,"Tom sleeps with the queen, Celia, but is compelled to return to his quest.",idea
62,"It was named for Cleora Ann Lunday, sister of the postmaster, Ed Lunday.",person
63,The control tower has been recorded as being haunted.,place
64,It is also sometimes prepared for wedding banquets.,thing
65,Toliver also proves important in Hawk-Owl's origin later on in the series.,person
66,"However, both creatures were fond of pranks and misleading people.",idea
67,The song is played only to the chorus.,thing
68,"Additional local programming is planned, including some previously aired on the college's cable channel.",idea
69,Today there is an arena in London named for him.,place
70,The record label draws its name from notorious drug lord Griselda Blanco.,thing
71,The vehicles sold there would be used for luxury taxi operations.,thing
72,He created what grew into the beacon service and the hydrographic services.,idea
73,"Classmates called her ""Baby"" since she was the youngest girl.",person
74,Ionikos Nikaias clinched the championship by winning the regular season.,thing
75,Its provisional seat was located in Kovel.,place
76,Wylie Collegiate Professor of Civil Engineering at the University of Michigan.,person
77,Among them include President of Singapore Halimah Yacob.,person
78,The famous straight is often called the Mulsanne Straight in English.,place
79,These positions are not held for the duration of a skydive.,idea
80,Both boys also frequently worked as farm laborers to supplement their allowance.,person
81,"Meanwhile, Ms. Choksondik dies and Cartman, Kyle and Stan think that they are responsible.",person
82,The economic climate has improved.,idea
83,The old man laid down his hand to light a cigar.,thing
84,It has a million megapixels.,thing
85,He is driving it in broad daylight.,thing
86,Police knew that Edward owned the items and did not want them seized.,person
87,Eyton.,place
88,It was built by people associated with the railroads in Macon.,place
89,Harkness and it was named Dingo Beach.,place
90,The incident was blamed on a software glitch.,thing
91,"In some other parts of the temple, however, the emperor is simply called ""Pharaoh"".",place
92,They also divorced.,idea
93,The energy from the Sun is an example of this form of energy conversion.,idea
94,It is the capital of Vatovavy-Fitovinany Region.,place
95,"No reason, however, was given as to the change of birth years.",idea
96,The destroyer had a busy July.,thing
97,She is more popular in South Korea than in Japan.,place
98,David B. and Lewis Trondheim.,person
99,"The legs are straight, and the toes and feet are pointed.",thing
100,The great Mughal Akbar decided to invade Mandu and capture Roopmati and Baz Bahadur.,person
101,"She was married to Captain James Pinson Labulo Davies, a wealthy Victorian Lagos philanthropist.",person
102,"Glass also based his earlier Low Symphony on the David Bowie album, ""Low"".",idea
103,McAskill was declared elected to the third position.,person
104,Chicot the Jester is a character in the novel.,person
105,The origin of this extremely unusual feature is as yet unknown.,idea
106,The southern portion of the department drops away towards the Pacific coast.,place
107,"""Sonny's Dream"" featured arrangements by Horace Tapscott.",thing
108,Jack London worked in a jute mill before becoming a successful writer.,person
109,Many huts are hosted and also offer sleeping accommodations.,thing
110,"Witten was born in Baltimore, Maryland, to a Jewish family.",person
111,"Mechanical, pneumatic, hydraulic, and other systems may also use analogue signals.",thing
112,The Bureau of Reclamation clear cut and cleaned the lake bottom before it filled.,place
113,Married couples leave their patrilocal extended household only after several children are born.,idea
114,The Coster family valued education.,idea
115,"“No, I won’t dance,” she said softly.",person
116,"No, but you are a Roman Catholic?",idea
117,In theology he was a follower of Joseph Ratzinger's theories.,idea
118,Both brothers attended Wellington College.,place
119,They usually cater to sub-regional markets of larger metropolitan areas.,idea
120,The Fogle Flats are townhouses available to seniors.,place
121,They will often have a difficult time getting to sleep or staying asleep.,idea
122,Sneaker Pimps' version begins with a short sound clip from the movie.,thing
123,"This was described as a tourism, leisure and retail attraction.",place
124,All figures below are provided by the Centre for Land Warfare Studies.,place
125,"She too later appeared in ""The Wildcats"" film, this time as a teacher.",person
126,Early settlers were primarily Palatine Germans.,person
127,The cause of extinction is unknown.,idea
128,"It was released in Japan under the title ""Gungriffon: The Eurasian Conflict"".",place
129,Diaz is also a Curtis alumnus and faculty member.,person
130,A black pearl stolen from an Indian idol is reputedly cursed.,thing
131,He serves as an officer in the Air National Guard.,person
132,Kroh married twice.,person
133,The main focus after the foundation was gymnastics.,idea
134,Sweetwater High School is part of Monroe County Schools.,place
135,These had body color bumpers.,thing
136,"Thomson died at his estate in Swampscott, Massachusetts.",person
137,"After these events, he began to actually construct his first dolls.",thing
138,The cities of Fenton and Linden were formed from areas formerly within the township.,place
139,"The closest larger centres to Alameda are Estevan, Weyburn, Regina, and Minot, North Dakota.",place
140,Los Angeles became the capital of the film industry.,place
141,"""The Blueprint"" received rave reviews from critics.",thing
142,This plank was made for walking on.,thing
143,"We have recovered most of the deleted files, but some are still being processed.",thing
144,They are also capable of delivering much higher acceleration and shorter takeoffs.,thing
145,Newspapers from Australia and Israel even pictured the mayor with his hair ablaze.,thing
146,"When I need a new album to listen to, I make one.",thing
147,Using an incompressible fluid increases system rigidity and reduces compliant behavior.,idea
148,The town of Panama moved to the crossing of the two railroads.,place
149,Driesch developed a deep interest in Psychical Research and Parapsychology.,person
150,Such buttons were often mounted on a patch of coloured cloth or gold embroidery.,thing
151,But their lives are not sacred.,idea
152,That’s music to my ears!,idea
153,There he got unconscious.,idea
154,Robert Rex was the team captain.,person
155,Very little is known about the life of the artist.,person
156,Over the shield there is golden crown.,thing
157,It was the first of four election victories in a row for Taschereau.,person
158,It is also used in the evening to protect the hay from morning dew.,thing
159,He attended Franklin High School in Stockton.,place
160,"Large mammal surveys continue to take place in Cambodia, hoping to rediscover living kouprey.",place
161,"It has a summit over long, thus ""Broad Peak"".",place
162,"The word Islam Hadhari consists of two words, Islam and Hadhari.",idea
163,"When she used color, however, Zeisler gravitated towards red.",person
164,He went to college at Alabama.,place
165,Past winners include other local hockey players Andrew Raycroft and Andrew Shaw.,person
166,The song is partly in Spanish and features vocals from Colombian singer Maluma.,person
167,"Contemporaries described ""Monty"" as the ""grand old man"" of Connecticut Agricultural College.",person
168,The policemen took Kiselyov straight to the police office in the presence of journalists.,place
169,Italy and Germany shared the silver medal on second place.,place
170,This is the only of this name in the United States.,place
